"","tnr.test.mean","tpr.test.mean","acc.test.mean","tp.test.mean","fp.test.mean","tn.test.mean","fn.test.mean","ppv.test.mean","f1.test.mean","mmce.test.mean","tnr_train","tpr_train","acc_train","tp_train","fp_train","tn_train","fn_train","ppv_train","f1_train","mmce_train","best_k","predictors","num_predictors"
"2726",0.385714285714286,0.931506849315068,0.84367816091954,68,8.6,5.4,5,0.888148641848338,0.909069977988436,0.15632183908046,0.592857142857143,0.972602739726027,0.911494252873563,710,57,83,20,0.925684485006519,0.948563794255177,0.0885057471264368,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobSatisfaction Education",6
"1282",0.378571428571429,0.928767123287671,0.840229885057471,67.8,8.7,5.3,5.2,0.886633118833995,0.906865816462519,0.159770114942529,0.528571428571429,0.954794520547945,0.886206896551724,697,66,74,33,0.913499344692005,0.933690555927662,0.113793103448276,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction Education",5
"2781",0.378571428571429,0.926027397260274,0.837931034482759,67.6,8.7,5.3,5.4,0.886370487377258,0.905353777653781,0.162068965517241,0.535714285714286,0.96027397260274,0.891954022988506,701,65,75,29,0.915143603133159,0.937165775401069,0.108045977011494,1,"OverTime StockOptionLevel JobLevelB JobSatisfaction EnviornmentSatisfactionB Education",6
"16",0.371428571428571,0.938356164383562,0.847126436781609,68.5,8.8,5.2,4.5,0.88645996974378,0.911547705503091,0.152873563218391,0.371428571428571,0.938356164383562,0.847126436781609,685,88,52,45,0.886157826649418,0.911510312707917,0.152873563218391,13,"OverTime JobLevelB",2
"119",0.371428571428571,0.938356164383562,0.847126436781609,68.5,8.8,5.2,4.5,0.886568111610001,0.911374355948798,0.152873563218391,0.371428571428571,0.938356164383562,0.847126436781609,685,88,52,45,0.886157826649418,0.911510312707917,0.152873563218391,3,"OverTime JobLevelB EnviornmentSatisfactionB",3
"126",0.371428571428571,0.934246575342466,0.84367816091954,68.2,8.8,5.2,4.8,0.886251230687394,0.909430934194172,0.15632183908046,0.392857142857143,0.934246575342466,0.847126436781609,682,85,55,48,0.889178617992177,0.911155644622578,0.152873563218391,7,"OverTime MaritalStatus NumCompaniesWorkedB",3
"4601",0.371428571428571,0.928767123287671,0.839080459770115,67.8,8.8,5.2,5.2,0.88572420084505,0.906439070626366,0.160919540229885,0.585714285714286,0.975342465753425,0.91264367816092,712,58,82,18,0.924675324675325,0.949333333333333,0.0873563218390805,1,"OverTime StockOptionLevel JobLevelB MaritalStatus JobSatisfaction EnviornmentSatisfactionB Education",7
"466",0.357142857142857,0.93972602739726,0.845977011494253,68.6,9,5,4.4,0.884211218128051,0.910871442846988,0.154022988505747,0.45,0.96027397260274,0.87816091954023,701,77,63,29,0.901028277634961,0.929708222811671,0.12183908045977,1,"OverTime StockOptionLevel JobSatisfaction Education",4
"1369",0.357142857142857,0.957534246575342,0.860919540229885,69.9,9,5,3.1,0.886046039266004,0.920273260405619,0.139080459770115,0.407142857142857,0.967123287671233,0.877011494252874,706,83,57,24,0.894803548795944,0.92955892034233,0.122988505747126,1,"OverTime StockOptionLevel JobInvolvementB NumCompaniesWorkedB Education",5
"2784",0.357142857142857,0.952054794520548,0.85632183908046,69.5,9,5,3.5,0.885780854628464,0.917491610726833,0.14367816091954,0.421428571428571,0.957534246575342,0.871264367816092,699,81,59,31,0.896153846153846,0.925827814569536,0.128735632183908,1,"OverTime StockOptionLevel JobLevelB JobInvolvementB NumCompaniesWorkedB EnviornmentSatisfactionB",6
